Order ID,Order Date,Order Priority,Order Quantity, Sales ,Discount, Profit ,Unit Price,Shipping Cost,Customer Name,Province,Region,Product Category,Product Sub-Category,Ship Date,,,,,,,,
23106,20-Oct-2010,Medium,35," $25,313 ",0.05,"$8,612.1",810.98,16.06,Liz MacKendrick,New Brunswick,Atlantic,Technology,Office Machines,22-Oct-2010,,,,,,,,
21121,16-Sep-2009,Not Specified,50," $20,175 ",0,"$9,374.0",387.99,19.99,Erin Mull,New Brunswick,Atlantic,Office Supplies,Binders and Binder Accessories,17-Sep-2009,,,,,,,,
20480,29-Jan-2009,Medium,38," $16,148 ",0.02,"$7,605.0",420.98,19.99,Liz MacKendrick,New Brunswick,Atlantic,Office Supplies,Binders and Binder Accessories,02-Jan-2009,,,,,,,,
32101,26-Dec-2009,Low,48," $14,567 ",0.04,"$3,799.6",291.73,48.8,Liz MacKendrick,New Brunswick,Atlantic,Furniture,Chairs & Chairmats,30-Dec-2009,,,,,,,,
50657,18-Dec-2011,High,49," $7,413 ",0.01,"$1,148.2",150.98,16.01,Aleksandra Gannaway,New Brunswick,Atlantic,Furniture,Tables,20-Dec-2011,,,,,,,,
10886,23-Aug-2009,Critical,47," $5,751 ",0.01,$433.0,119.99,56.14,Quincy Jones,New Brunswick,Atlantic,Technology,Office Machines,24-Aug-2009,,,,,,,,
54791,20-Dec-2012,High,42," $4,273 ",0.07,-$892.0,101.41,35,Lisa DeCherney,New Brunswick,Atlantic,Office Supplies,Storage & Organization,22-Dec-2012,,,,,,,,
12900,05-Mar-2010,High,18," $4,096 ",0.08,$308.2,306.14,26.53,Laurel Elliston,New Brunswick,Atlantic,Technology,Office Machines,05-May-2010,,,,,,,,
2048,14-Nov-2010,Critical,12," $3,753 ",0.01,$637.9,294.62,42.52,Deanra Eno,New Brunswick,Atlantic,Office Supplies,Appliances,15-Nov-2010,,,,,,,,
22917,03-Jan-2009,Medium,1," $3,550 ",0.06,"-$11,769.2",3499.99,24.49,Deanra Eno,New Brunswick,Atlantic,Technology,Copiers and Fax,03-Apr-2009,,,,,,,,
37313,07-Feb-2012,Not Specified,44," $3,304 ",0,-$634.5,70.71,37.58,Liz MacKendrick,New Brunswick,Atlantic,Furniture,Office Furnishings,07-Mar-2012,,,,,,,,
22628,29-Oct-2009,Medium,30," $2,952 ",0.02,"-$1,111.5",95.95,74.35,Lynn Smith,New Brunswick,Atlantic,Furniture,Chairs & Chairmats,11-Jan-2009,,,,,,,,
10630,02-Apr-2010,Medium,44," $2,774 ",0,-$513.8,58.14,36.61,Pauline Johnson,New Brunswick,Atlantic,Furniture,Bookcases,02-Jun-2010,,,,,,,,
57059,06-Jan-2011,Medium,25," $2,456 ",0.03,"$1,361.9",98.31,0.49,Liz MacKendrick,New Brunswick,Atlantic,Office Supplies,Labels,06-Mar-2011,,,,,,,,
